,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-20 09:30:00-04:00,343.4599914550781,345.2799987792969,343.0299987792969,344.2900085449219,9560965,0.0,0
2020-10-20 10:30:00-04:00,344.29998779296875,344.70001220703125,342.6400146484375,343.6199951171875,5950171,0.0,0
2020-10-20 11:30:00-04:00,343.6199951171875,344.5799865722656,343.2500915527344,344.1199035644531,3114952,0.0,0
2020-10-20 12:30:00-04:00,344.1199951171875,346.5989990234375,344.0199890136719,346.3999938964844,8356660,0.0,0
2020-10-20 13:30:00-04:00,346.4100036621094,346.8800048828125,345.1600036621094,345.54998779296875,6721935,0.0,0
2020-10-20 14:30:00-04:00,345.5400085449219,345.9200134277344,342.67010498046875,344.239990234375,9254055,0.0,0
2020-10-20 15:30:00-04:00,344.260009765625,344.8800048828125,343.1600036621094,343.3699951171875,10166695,0.0,0
2020-10-21 09:30:00-04:00,343.3299865722656,345.6700134277344,343.1099853515625,345.010009765625,8686265,0.0,0
2020-10-21 10:30:00-04:00,345.010009765625,345.1400146484375,342.3999938964844,343.1700134277344,6893362,0.0,0
2020-10-21 11:30:00-04:00,343.1700134277344,345.1000061035156,342.7900085449219,343.8900146484375,9759967,0.0,0
2020-10-21 12:30:00-04:00,343.9100036621094,344.02099609375,342.45001220703125,343.5899963378906,7255678,0.0,0
2020-10-21 13:30:00-04:00,343.6000061035156,344.6700134277344,343.1099853515625,344.3999938964844,6228505,0.0,0
2020-10-21 14:30:00-04:00,344.4100036621094,345.0199890136719,343.7699890136719,344.56500244140625,5774396,0.0,0
2020-10-21 15:30:00-04:00,344.5799865722656,344.75,342.6099853515625,342.69000244140625,11608785,0.0,0
2020-10-22 09:30:00-04:00,342.9599914550781,343.7699890136719,341.56500244140625,341.92999267578125,7708654,0.0,0
2020-10-22 10:30:00-04:00,341.92498779296875,343.3970031738281,340.6499938964844,342.94000244140625,10267591,0.0,0
2020-10-22 11:30:00-04:00,342.94000244140625,343.07501220703125,341.9599914550781,342.6499938964844,5006402,0.0,0
2020-10-22 12:30:00-04:00,342.6549987792969,344.3599853515625,342.04998779296875,343.8476867675781,4017399,0.0,0
2020-10-22 13:30:00-04:00,343.8399963378906,345.0400085449219,343.4800109863281,344.5899963378906,6558002,0.0,0
2020-10-22 14:30:00-04:00,344.5899963378906,344.8630065917969,343.8900146484375,344.739990234375,5387631,0.0,0
2020-10-22 15:30:00-04:00,344.75,345.239990234375,344.1499938964844,344.6400146484375,9561904,0.0,0
2020-10-23 09:30:00-04:00,345.92999267578125,345.989990234375,344.3999938964844,344.8800048828125,8364790,0.0,0
2020-10-23 10:30:00-04:00,344.8900146484375,345.2699890136719,343.9800109863281,344.4898986816406,6231838,0.0,0
2020-10-23 11:30:00-04:00,344.4800109863281,344.6000061035156,343.1300048828125,343.6199951171875,5968621,0.0,0
2020-10-23 12:30:00-04:00,343.62860107421875,344.6000061035156,343.17999267578125,344.489990234375,4534237,0.0,0
2020-10-23 13:30:00-04:00,344.4800109863281,345.0400085449219,344.25,345.0299072265625,3236225,0.0,0
2020-10-23 14:30:00-04:00,345.0299987792969,345.4200134277344,344.6518859863281,345.135009765625,4168562,0.0,0
2020-10-23 15:30:00-04:00,345.1400146484375,345.7699890136719,344.9800109863281,345.739990234375,8196482,0.0,0
2020-10-26 09:30:00-04:00,342.1300048828125,342.9800109863281,341.5199890136719,341.5799865722656,12496733,0.0,0
2020-10-26 10:30:00-04:00,341.5799865722656,341.5899963378906,338.1499938964844,338.79998779296875,17265662,0.0,0
2020-10-26 11:30:00-04:00,338.7900085449219,340.20001220703125,338.0,338.6300048828125,10222045,0.0,0
2020-10-26 12:30:00-04:00,338.6099853515625,338.6099853515625,336.1600036621094,336.19000244140625,9254146,0.0,0
2020-10-26 13:30:00-04:00,336.20001220703125,338.6549987792969,335.6199951171875,338.5931091308594,12490678,0.0,0
2020-10-26 14:30:00-04:00,338.5950012207031,338.67999267578125,337.3699951171875,338.37701416015625,8919689,0.0,0
2020-10-26 15:30:00-04:00,338.3699035644531,339.4700012207031,337.3500061035156,339.4150085449219,12347314,0.0,0
2020-10-27 09:30:00-04:00,339.760009765625,340.0799865722656,338.1400146484375,338.4700012207031,10977240,0.0,0
2020-10-27 10:30:00-04:00,338.4700012207031,339.70001220703125,338.3299865722656,338.6600036621094,6275674,0.0,0
2020-10-27 11:30:00-04:00,338.6600036621094,340.0400085449219,338.19219970703125,339.239990234375,5723940,0.0,0
2020-10-27 12:30:00-04:00,339.239990234375,339.6000061035156,338.5299987792969,339.5400085449219,5651460,0.0,0
2020-10-27 13:30:00-04:00,339.5299987792969,340.1199951171875,338.7200012207031,339.0929870605469,4816263,0.0,0
2020-10-27 14:30:00-04:00,339.1000061035156,339.2099914550781,337.989990234375,338.9049987792969,7506632,0.0,0
2020-10-27 15:30:00-04:00,338.8999938964844,339.3299865722656,338.1600036621094,338.25,11828915,0.0,0
2020-10-28 09:30:00-04:00,332.32501220703125,332.7900085449219,328.2200012207031,328.7900085449219,23972135,0.0,0
2020-10-28 10:30:00-04:00,328.7699890136719,329.55999755859375,327.6000061035156,328.3418884277344,17449013,0.0,0
2020-10-28 11:30:00-04:00,328.3500061035156,330.3399963378906,327.5799865722656,329.3399963378906,12768389,0.0,0
2020-10-28 12:30:00-04:00,329.3399963378906,329.5799865722656,327.1400146484375,328.2820129394531,10557279,0.0,0
2020-10-28 13:30:00-04:00,328.2799987792969,329.0400085449219,327.3699951171875,328.94989013671875,10261039,0.0,0
2020-10-28 14:30:00-04:00,328.9299011230469,329.3699951171875,327.6499938964844,328.95001220703125,14945128,0.0,0
2020-10-28 15:30:00-04:00,328.94000244140625,329.8500061035156,326.1300048828125,326.6700134277344,22967287,0.0,0
2020-10-29 09:30:00-04:00,326.9100036621094,329.48529052734375,325.0899963378906,329.1199951171875,21465647,0.0,0
2020-10-29 10:30:00-04:00,329.1199951171875,329.8699951171875,328.4700012207031,329.06500244140625,12130244,0.0,0
2020-10-29 11:30:00-04:00,329.06500244140625,329.32000732421875,327.82000732421875,328.95001220703125,7469433,0.0,0
2020-10-29 12:30:00-04:00,328.94000244140625,330.07000732421875,328.5733947753906,329.9949951171875,5367331,0.0,0
2020-10-29 13:30:00-04:00,329.9919128417969,333.2200012207031,329.9599914550781,332.989990234375,12041857,0.0,0
2020-10-29 14:30:00-04:00,333.0,333.3949890136719,330.92999267578125,332.0299987792969,11341224,0.0,0
2020-10-29 15:30:00-04:00,332.0400085449219,332.5400085449219,329.92999267578125,329.989990234375,10102613,0.0,0
2020-10-30 09:30:00-04:00,328.2799987792969,329.69000244140625,324.9200134277344,325.260009765625,18399076,0.0,0
